의료기관명,의료기관주소(도로명),의료기관전화번호,법정동,진료과
삼성앤유외과의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 2층 202,203호 (창곡동)",031-755-6875,창곡동,외과
고등연세이비인후과의원,"경기도 성남시 수정구 청계산로 695, 303-304호 (고등동)",,고등동,이비인후과
바른모양치과의원,"경기도 성남시 수정구 수정로 108, 2,3층 (수진동)",031-8039-6543,수진동,치과
분당서울마취통증의학과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 4층 (신흥동)",031-742-7588,신흥동,마취통증의학과
연세정석정형외과의원,"경기도 성남시 수정구 수정로 115-1, 주민신협행복빌딩 2층 (태평동)",031-721-8275,태평동,외과
연세온가족소아청소년과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 3층 (신흥동)",031-778-7515,신흥동,소아청소년과
위례퍼스트정형외과의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 5층 504,505호 (창곡동)",031-8039-7560,창곡동,외과
맑은빛피부과의원,"경기도 성남시 수정구 수정로 284, 도일빌딩 2층 (신흥동)",031-8039-7540,신흥동,피부과
고등탑내과의원,"경기도 성남시 수정구 고등로 3, 현대지식산업센터 성남고등 C동 105호 (고등동)",031-778-6418,고등동,내과
연세꿈꾸는아이치과의원,"경기도 성남시 수정구 희망로 551, 502,504,505호 (신흥동)",031-733-2275,신흥동,치과
언제나봄산부인과의원,"경기도 성남시 수정구 희망로 551, 2층 202,204,205호 (신흥동)",031-778-6700,신흥동,산부인과
산성베스트내과의원,"경기도 성남시 수정구 희망로 551, 4층 (신흥동)",031-8039-6006,신흥동,내과
마음공원정신건강의학과의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 506호 (창곡동)",031-609-7071,창곡동,정신건강의학과
연세온탑치과의원,"경기도 성남시 수정구 산성대로 265, 2층 (신흥동)",031-609-2828,신흥동,치과
성남삼성치과의원,"경기도 성남시 수정구 수정로 128, 10층 (수진동)",,수진동,치과
연세웰드림내과의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 2층 208,209,210호 (창곡동)",031-8039-6775,창곡동,내과
성남근본마취통증의학과의원,"경기도 성남시 수정구 수정로 128, 4,5층 (수진동)",031-758-7580,수진동,마취통증의학과
산성예스치과의원,"경기도 성남시 수정구 희망로 551, C1블럭동 3층 302호, 305호 (신흥동)",031-747-2833,신흥동,치과
구름별소아청소년과의원,"경기도 성남시 수정구 희망로 551, C1블럭동 3층 303호, 304호 (신흥동)",031-743-7890,신흥동,소아청소년과
1퍼센트 치과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 2층, 3층일부호 (신흥동)",031-778-6868,신흥동,치과
위례밝은성모안과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 301호 (창곡동)",031-752-9881,창곡동,안과
서울박사치과의원,"경기도 성남시 수정구 수정로 326, 3층 (산성동)",031-747-2884,산성동,치과
금토정성치과의원,"경기도 성남시 수정구 금토로80번길 51, 2층 203호 (금토동)",031-709-2888,금토동,치과
보아스이비인후과의원,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 309,310일부호 (창곡동)",031-722-5200,창곡동,이비인후과
위례 애플산부인과의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 205-206호 (창곡동)",031-722-5680,창곡동,산부인과
원데이항외과의원,"경기도 성남시 수정구 산성대로 241, 비와이씨 2층 202호 (신흥동)",031-753-7577,신흥동,외과
한양류마정내과의원,"경기도 성남시 수정구 위례광장로 9-9, 남위례역 푸르지오 시티 206,207호 (창곡동)",031-723-8875,창곡동,내과
위례닥터스피부과의원,"경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 403~405호 (창곡동)",031-754-7975,창곡동,피부과
바른힐정형외과의원,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 8,9층 (수진동)",031-606-8888,수진동,외과
양지바른정형외과의원,"경기도 성남시 수정구 산성대로 531, 6,7층 (양지동)",031-608-0123,양지동,외과
연세솔내과의원,"경기도 성남시 수정구 산성대로 223, 일문파이낸스빌딩 5층 (신흥동)",031-602-0500,신흥동,내과
여름안과의원,"경기도 성남시 수정구 수정로 341, 산성역포레스티아아파트 동문상가동 301,302호 (신흥동)",031-731-1760,신흥동,안과
서울아산센트럴치과의원,"경기도 성남시 수정구 산성대로 531, 4,5층 (양지동)",031-747-2080,양지동,치과
위례편한정신건강의학과의원,"경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 201호 (창곡동)",031-723-5831,창곡동,정신건강의학과
이안정형외과의원,"경기도 성남시 수정구 산성대로 305, 219-224호 (신흥동, 삼부르네상스파크Ⅱ)",031-698-4151,,외과
위례서울소아청소년과의원,"경기도 성남시 수정구 위례동로 135-6, 이너매스 위례 401호 (창곡동)",031-606-7001,창곡동,소아청소년과
오아로피부과의원,"경기도 성남시 수정구 산성대로 267, 223-230호 (신흥동)",031-749-5151,신흥동,피부과
위례성형외과의원,"경기도 성남시 수정구 위례서일로 22, 이너매스우남 709호 (창곡동)",031-721-0706,창곡동,외과
더한스피부과의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 2,4층 (태평동)",031-605-7579,태평동,피부과
서울룬치과의원,"경기도 성남시 수정구 수정로 170, 2,3층 (신흥동)",031-697-8875,신흥동,치과
신흥미치과의원,"경기도 성남시 수정구 산성대로 305, 201,202,225호 (신흥동, 삼부르네상스파크Ⅱ)",031-722-2275,,치과
이스턴치과교정과치과의원,"경기도 성남시 수정구 산성대로295번길 1, 5층 (신흥동)",031-736-2276,신흥동,치과
태평가이드치과의원,"경기도 성남시 수정구 수정로 118, 나눔빌딩 5층 (수진동)",031-751-7528,수진동,치과
윤사랑외과의원,"경기도 성남시 수정구 산성대로295번길 1, 3층 (신흥동)",031-741-1020,신흥동,외과
서울마디튼튼재활의학과의원,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 4층 401~404,408호 (신흥동)",031-778-7177,신흥동,재활의학과
아폴로신경외과의원,"경기도 성남시 수정구 창업로 18, 3층 302호 (시흥동)",031-756-7567,시흥동,외과
삼성탑내과의원,"경기도 성남시 수정구 산성대로 267, 411~418호, 426호 (신흥동)",031-745-8875,신흥동,내과
미래로마취통증의학과의원,"경기도 성남시 수정구 산성대로 537, 1,2,5층 (양지동)",031-733-7575,양지동,마취통증의학과
좋은산부인과의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 509호 (창곡동)",031-753-5793,창곡동,산부인과
아폴로치과의원,"경기도 성남시 수정구 창업로 18, 3층 306호 (시흥동)",031-722-0428,시흥동,치과
아이편한소아치과의원,"경기도 성남시 수정구 산성대로 267, 501, 502, 535호 (신흥동)",031-604-2888,신흥동,치과
서울에스(S)퍼스트치과의원,"경기도 성남시 수정구 수정로 131, 2층 203호 (태평동, 낙원스카이뷰)",031-721-2879,,치과
탑플란트치과의원,"경기도 성남시 수정구 수정로 200, 3층 (신흥동)",031-751-2080,신흥동,치과
서울진정신건강의학과의원,"경기도 성남시 수정구 성남대로 1342, 가천대학교 지하2,3층 308호 (복정동)",031-607-8839,복정동,정신건강의학과
성남센트럴안과의원,"경기도 성남시 수정구 산성대로 267, 401~405,432~435호 (신흥동)",031-748-7779,신흥동,안과
서울에스(S)치과교정과치과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 702,703호 (창곡동)",031-759-2285,창곡동,치과
김이경소아청소년과의원,"경기도 성남시 수정구 청계산로 689, 3층 302호 (고등동)",031-8039-5480,고등동,소아청소년과
서울진내과의원,"경기도 성남시 수정구 제일로 157, 2층 (수진동)",031-721-9888,수진동,내과
고등퍼스트치과의원,"경기도 성남시 수정구 고등로 4, 고산빌딩 3층 301-303호 (고등동)",031-603-7522,고등동,치과
서울삼성치과의원,"경기도 성남시 수정구 위례광장로 300, 중앙타워 804호 (창곡동)",031-625-6100,창곡동,치과
위례탑내과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 501,502호 (창곡동)",031-602-7681,창곡동,내과
베스트내과의원,"경기도 성남시 수정구 수정로 174, 진영빌딩 301호 (신흥동)",031-755-7542,신흥동,내과
위례삼성정신건강의학과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 8층 803호 (창곡동)",031-757-8575,창곡동,정신건강의학과
서울더블유(W)내과의원,"경기도 성남시 수정구 수정로 291, 상가1동 108,109,112호 (신흥동)",031-746-7588,신흥동,내과
서울좋은소아청소년과의원,"경기도 성남시 수정구 수정로 291, 상가1동 301호(일부)호 (신흥동)",031-778-6429,신흥동,소아청소년과
서울산성플란트치과의원,"경기도 성남시 수정구 수정로 291, 상가 1동 3층 301호 (신흥동)",031-745-2888,신흥동,치과
소망플란트치과의원,"경기도 성남시 수정구 수정로 341, 상가2동 3층 303,304호 (신흥동)",031-744-2080,신흥동,치과
더맑은이비인후과의원,"경기도 성남시 수정구 수정로 291, 상가1동 3층 302호 (신흥동)",031-733-5002,신흥동,이비인후과
원탑성형외과의원,"경기도 성남시 수정구 산성대로 267, 5층 525호~529호 (신흥동)",031-734-7588,신흥동,외과
서울유이비인후과의원,"경기도 성남시 수정구 산성대로 439, 3층 일부호 (단대동)",031-742-8383,단대동,이비인후과
이지은산부인과의원,"경기도 성남시 수정구 산성대로 259, 3층 일부호 (신흥동)",031-743-7070,신흥동,산부인과
서울바른신경외과의원,"경기도 성남시 수정구 수정로 174, 진영빌딩 2층 (신흥동)",031-758-7975,신흥동,외과
서울위례산부인과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 10층 1002호 (창곡동)",031-758-7001,창곡동,산부인과
성남센트럴산부인과의원,"경기도 성남시 수정구 수정로 88, 2층 202호 (수진동)",031-752-0017,수진동,산부인과
미소더함치과교정과치과의원,"경기도 성남시 수정구 산성대로 267, 신흥역시네마타워 4층 406호~409호 (신흥동)",031-602-2228,신흥동,치과
삼성힐재활의학과의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 509,601,613~617,620호 (창곡동)",031-625-3375,창곡동,재활의학과
서울민플란트치과의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 5층 (태평동)",031-606-2800,태평동,치과
연세웰키즈치과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 7층 705호 (창곡동)",031-722-2528,창곡동,치과
최피부과의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 3층 306호 (창곡동)",031-721-1777,창곡동,피부과
이지마취통증의학과 의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 6층 (태평동)",031-721-8877,태평동,마취통증의학과
태평참이비인후과의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 3층 (태평동)",031-757-2645,태평동,이비인후과
아이자람어린이치과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 410호 (창곡동)",031-752-0428,창곡동,치과
성남키즈소아청소년과의원,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 5층 518,519호 (신흥동)",031-732-0303,신흥동,소아청소년과
밝은성모안과의원,"경기도 성남시 수정구 산성대로 247, 10층 (신흥동)",031-743-3337,신흥동,안과
소망소아청소년과의원,"경기도 성남시 수정구 위례광장로 19, 아이페리온 3층 306호 (창곡동)",031-749-2585,창곡동,소아청소년과
위례조은치과의원,"경기도 성남시 수정구 위례서일로 18, 더존메디컬타워 3층 306호 (창곡동)",031-754-2277,창곡동,치과
원이비인후과의원,"경기도 성남시 수정구 위례광장로 19, 아이페리온 4층 407호 (창곡동)",031-7152119,창곡동,이비인후과
위례스마일치과의원,"경기도 성남시 수정구 위례동로 147, 위례건아타워 3층 304호 (창곡동)",031-721-5525,창곡동,치과
이동훈연세정형외과의원,"경기도 성남시 수정구 위례서일로 10, 슈퍼스타타워 3층일부∼5층 (창곡동)",031-626-0011,창곡동,외과
에이덴치과의원,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 3층 323호 (창곡동)",031-721-2828,창곡동,치과
연세모두치과교정과치과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 7층 703호 (창곡동)",031-755-3008,창곡동,치과
위례맑음치과의원,"경기도 성남시 수정구 위례광장로 328, 우성위례타워 3층 301호 (창곡동)",031-608-7528,창곡동,치과
제이덴치과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 9층 901호 (창곡동)",031-722-2875,창곡동,치과
위례 리더스피부과의원,"경기도 성남시 수정구 위례광장로 300, 8층 801호 (창곡동)",031-756-9600,창곡동,피부과
서울플란트치과의원,"경기도 성남시 수정구 위례서일로 34, 6층 606호 (창곡동)",031-752-3815,창곡동,치과
아이작성형외과의원,"경기도 성남시 수정구 위례광장로 300, 9층 907호 (창곡동)",031-758-3050,창곡동,외과
위례편한치과의원,"경기도 성남시 수정구 위례광장로 19, 4층 413호 (창곡동)",031-722-2872,창곡동,치과
열린서울내과의원,"경기도 성남시 수정구 위례서일로 34, 5층 504호 (창곡동, 우남역성희프라자)",031-757-3106,,내과
위례좋은치과의원,"경기도 성남시 수정구 위례동로 153, 6층 606, 607호 (창곡동, 에이플타워)",031-722-2754,,치과
연세케이(K)플란트치과의원,"경기도 성남시 수정구 위례광장로 5, 3층 307호 (창곡동, 위례우남역아이파크)",031-754-2822,,치과
서울밝은미소치과의원,"경기도 성남시 수정구 위례광장로 300, 7층 717호 (창곡동, 위례중앙역중앙타워)",031-755-2279,,치과
위례바른이(e)치과의원,"경기도 성남시 수정구 위례동로 153, 3층 305, 306호 (창곡동, 에이플타워)",031-721-2829,,치과
성모튼튼마취통증의학과의원,"경기도 성남시 수정구 위례광장로 300, 7층 701호 (창곡동, 위례중앙역중앙타워)",031-754-8875,,마취통증의학과
위례연세정신건강의학과의원,"경기도 성남시 수정구 위례광장로 310, A동 5층 508호 (창곡동, 우성트램타워)",031-758-7508,,정신건강의학과
더나은내과의원,"경기도 성남시 수정구 산성대로 439, 4층 (단대동)",031-744-3339,단대동,내과
위례아산내과의원,"경기도 성남시 수정구 위례광장로 300, 8층 807호 (창곡동, 위례중앙역중앙타워)",031-751-1575,,내과
다온정형외과의원,"경기도 성남시 수정구 산성대로 439, 5, 6층 (단대동)",031-746-8275,단대동,외과
서울허브치과의원,"경기도 성남시 수정구 산성대로 439, 2층 202호 (단대동)",031-735-2275,단대동,치과
바라봄피부과의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 501,502,503,504호 (창곡동)",031-778-7582,창곡동,피부과
우리샘치과의원,"경기도 성남시 수정구 위례광장로 320, 5층 506,507호 (창곡동, 아이에스센트럴타워)",031-605-2087,,치과
성남타임치과의원,"경기도 성남시 수정구 산성대로 529-1, 2층 (양지동)",031-603-2080,양지동,치과
서울본치과의원,"경기도 성남시 수정구 위례광장로 27, 3층 305호 (창곡동, 으뜸프라자)",031-698-4000,,치과
연세프렌즈소아청소년과의원,"경기도 성남시 수정구 수정로 179-1, 2층 (태평동)",031-755-5585,태평동,소아청소년과
위례헤브론치과의원,"경기도 성남시 수정구 위례광장로 320, 4층 414,415호 (창곡동, 아이에스센트럴타워)",031-753-7522,,치과
바로본신경외과의원,"경기도 성남시 수정구 위례광장로 310, 7층 705,706,707호 (창곡동, 우성트램타워)",031-606-8579,,외과
위례리본정형외과의원,"경기도 성남시 수정구 위례광장로 320, 6층 611,612,613호 (창곡동, 아이에스센트럴타워)",031-609-5757,,외과
엠에스안과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 우성트램타워 A동 305,306,307,308,309,310호 (창곡동)",02-6672-1001,창곡동,안과
일곱색깔치과의원,"경기도 성남시 수정구 위례동로 153, 3층 304호 (창곡동, 에이플타워)",031-736-2875,,치과
위례어린이치과의원,"경기도 성남시 수정구 위례광장로 320, 606호 (창곡동, 아이에스센트럴타워)",031-752-2879,,치과
올라안과의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 410, 906호 (창곡동)",031-721-2002,창곡동,안과
반트치과교정과치과의원,"경기도 성남시 수정구 위례동로 147, 2층 204호 (창곡동, 위례건아타워)",031-758-7080,,치과
연세탑치과의원,"경기도 성남시 수정구 위례광장로 322, 2층 201호 (창곡동, 아이플렉스)",031-754-2480,,치과
위례연세미소치과의원,"경기도 성남시 수정구 위례동로 153, 5층 505호 (창곡동, 에이플타워)",031-753-2080,,치과
위례민정형외과의원,"경기도 성남시 수정구 위례동로 153, 6층 608호 (창곡동, 에이플타워)",031-8039-5678,,외과
밸런스위례치과의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 7층 707호 (창곡동)",031-752-7528,창곡동,치과
맑은성모이비인후과의원,"경기도 성남시 수정구 위례광장로 310, B동 3층 303호 (창곡동, 우성트램타워)",031-759-2119,,이비인후과
365위례연세내과의원,"경기도 성남시 수정구 위례동로 153, 4층 404호 (창곡동, 에이플타워)",031-722-0055,,내과
위례플러스이비인후과의원,"경기도 성남시 수정구 위례동로 153, 4층 403호 (창곡동, 에이플타워)",031-753-5550,,이비인후과
위례중앙내과외과의원,"경기도 성남시 수정구 위례광장로 320, 5층 504,505호 (창곡동, 아이에스센트럴타워)",031-758-2300,,내과
위례센트럴이비인후과의원,"경기도 성남시 수정구 위례광장로 320, 5층 515,516호 (창곡동, 아이에스센트럴타워)",031-721-7852,,이비인후과
연세생명나무내과의원,"경기도 성남시 수정구 위례광장로 27, 303,304호 (창곡동, 으뜸프라자)",031-758-1088,,내과
현소아청소년과의원,"경기도 성남시 수정구 위례광장로 320, 6층 619호 (창곡동, 아이에스센트럴타워)",031-755-8275,,소아청소년과
위례삼성정형외과의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 3층 302,307,308,309호 (창곡동)",031-778-7973,창곡동,외과
삼성드림아이소아청소년과의원,"경기도 성남시 수정구 위례광장로 310, B동 5층 502호 (창곡동, 우성트램타워)",031-759-9179,,소아청소년과
위례365치과의원,"경기도 성남시 수정구 위례광장로 310, 4층 403,404호 (창곡동, 우성트램타워)",031-755-0365,,치과
위례밝은아이소아청소년과의원,"경기도 성남시 수정구 위례광장로 322, 3층 310호 (창곡동, 아이플렉스)",031-935-6910,,소아청소년과
위례하나이비인후과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 301호, 302 일부호 (창곡동)",031-778-6811,창곡동,이비인후과
서울바른생각치과의원,"경기도 성남시 수정구 위례광장로 310, A동 5층 506,507호 (창곡동, 우성트램타워)",031-752-7525,,치과
위례웰봄소아청소년과의원,"경기도 성남시 수정구 위례광장로 310, A동 407호 (창곡동, 우성트램타워)",031-758-1275,,소아청소년과
위례성모내과의원,"경기도 성남시 수정구 위례광장로 322, 4층 408,409호 (창곡동, 아이플렉스)",031-625-8275,,내과
연세봄이비인후과의원,"경기도 성남시 수정구 위례광장로 310, 5층 503,504호 (창곡동, 우성트램타워)",031-746-7575,,이비인후과
더서울치과의원,"경기도 성남시 수정구 성남대로 1225, 강원빌딩 2층~3층 (수진동)",031-757-1525,수진동,치과
두리이비인후과의원,"경기도 성남시 수정구 위례동로 141, 우성메디피아 305호 일부 (창곡동)",031-722-3777,창곡동,이비인후과
참벗마취통증의학과의원,"경기도 성남시 수정구 위례동로 141, 우성메디피아동 304호 (창곡동)",031-755-7572,창곡동,마취통증의학과
굿패밀리치과의원,"경기도 성남시 수정구 위례동로 141, 6층 (창곡동)",031-759-2879,창곡동,치과
위례탑치과의원,"경기도 성남시 수정구 위례동로 141, 4층 (창곡동)",031-757-2275,창곡동,치과
라라소아청소년과의원,"경기도 성남시 수정구 위례동로 141, 5층 (창곡동)",031-723-0055,창곡동,소아청소년과
서울삼성안과의원,"경기도 성남시 수정구 수정로 116, 4층 (수진동)",031-752-2016,수진동,안과
항도외과의원,"경기도 성남시 수정구 수정로 133, 3,4층 (태평동)",031-753-3000,태평동,외과
위례상쾌한이비인후과의원,"경기도 성남시 수정구 위례동로 141, 5층 505호 (창곡동)",031-8023-5588,창곡동,이비인후과
백세이안치과의원,"경기도 성남시 수정구 수정로 162, 5층 (신흥동)",031-753-7528,신흥동,치과
이지유외과의원,"경기도 성남시 수정구 산성대로 237-1, 3층 (신흥동)",031-759-8275,신흥동,외과
서울좋은치과의원,"경기도 성남시 수정구 수정로 90, 2층 (수진동)",031-755-2828,수진동,치과
서울삼성최내과의원,"경기도 성남시 수정구 수정로 116, 2층 (수진동)",031-757-2882,수진동,내과
서울S치과의원,"경기도 성남시 수정구 수정로 186, 2층 (신흥동)",031-751-2288,신흥동,치과
파티마외과의원,"경기도 성남시 수정구 산성대로 229, 10층 (신흥동)",031-756-9663,신흥동,외과
연세해피이비인후과의원,"경기도 성남시 수정구 산성대로 241, 5층 (신흥동)",031-723-6789,신흥동,이비인후과
연세권이비인후과의원,"경기도 성남시 수정구 수정로 116, 3층 (수진동)",031-753-5075,수진동,이비인후과
오세관정형외과의원,"경기도 성남시 수정구 산성대로 241, 비와이씨 6층 (신흥동)",031-753-5988,신흥동,외과
조은정형외과의원,"경기도 성남시 수정구 성남대로 1237, 지하1,1,2,3층 (태평동)",031-698-2285,태평동,외과
이튼튼치과의원,"경기도 성남시 수정구 수정로 68, 2층 (수진동)",031-722-2804,수진동,치과
서울튼튼치과의원,"경기도 성남시 수정구 산성대로 241, 3층 (신흥동, 비와이씨주건축물제1동)",031-751-2857,신흥동,치과
이젤민트치과의원,"경기도 성남시 수정구 수정로 205, 3층 (태평동)",031-755-5033,태평동,치과
우리정형외과의원,"경기도 성남시 수정구 수정로 118, 2층 (수진동)",031-723-0003,수진동,외과
삼성드림소아청소년과의원,"경기도 성남시 수정구 산성대로 433 (단대동, 2층)",031-735-7355,,소아청소년과
이레치과의원,"경기도 성남시 수정구 산성대로 481 (양지동, 4층)",031-746-3900,,치과
연세노상엽치과의원,"경기도 성남시 수정구 산성대로 429, 3층 (단대동)",031-745-2875,단대동,치과
서울시원한마취통증의학과의원,"경기도 성남시 수정구 산성대로 247, 7-8층 (신흥동)",031-741-7575,신흥동,마취통증의학과
푸른성모이비인후과의원,"경기도 성남시 수정구 수정로 205, 3층 (태평동)",031-758-0758,태평동,이비인후과
세브란스내과의원,"경기도 성남시 수정구 제일로 155, 1층 (수진동)",031-757-8886,수진동,내과
라인플란트치과의원,"경기도 성남시 수정구 산성대로 267, 302호 (신흥동)",031-747-7528,신흥동,치과
인생플란트치과의원,"경기도 성남시 수정구 성남대로 1228, 해광빌딩 4층 일부, 5층 (수진동)",031-723-7522,수진동,치과
신상건신경과의원,경기도 성남시 수정구 수정로 141-1 (태평동),031-758-2700,태평동,신경과
스파클치과교정과치과의원,"경기도 성남시 수정구 수정로 341, 상가2동 4층 401호 (신흥동)",031-741-7557,신흥동,치과
등마루신경외과의원,"경기도 성남시 수정구 수정로 208, 메드위즈 9층 (신흥동)",031-718-2211,신흥동,외과
이진원치과의원,경기도 성남시 수정구 수정로 115 (태평동),031-752-2214,태평동,치과
마이엠치과의원,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",031-755-2835,,치과
성남속편한내과의원,"경기도 성남시 수정구 수정로 208, 4층 (신흥동, 메드위즈)",031-735-1088,,내과
올바른약속치과의원,"경기도 성남시 수정구 산성대로 259, 6층 (신흥동)",031-746-2004,신흥동,치과
우리가족치과의원,"경기도 성남시 수정구 수정로 110, 3층 일부호 (수진동)",0507-1376-2279,수진동,치과
서울플러스치과의원,"경기도 성남시 수정구 산성대로 237-1, 6,7층 (신흥동)",031-754-2879,신흥동,치과
늘푸른피부과의원,경기도 성남시 수정구 산성대로 237-1 (신흥동),031-751-7900,신흥동,피부과
우리들이비인후과의원,"경기도 성남시 수정구 산성대로 313 (신흥동, 나무빌딩4층)",031-721-7361,,이비인후과
이가편한치과의원,"경기도 성남시 수정구 수정로 201, 1층 (태평동, 신세계 쉐덴)",031-752-7541,,치과
e푸른치과의원,"경기도 성남시 수정구 산성대로 495, 2층 (양지동)",031-731-1311,양지동,치과
MK참사랑치과의원,"경기도 성남시 수정구 수정로 59, 3층 (태평동)",031-758-2817,태평동,치과
윤유마취통증의학과의원,"경기도 성남시 수정구 수정로 175, 2층 (태평동, 동일빌딩)",031-753-2282,,마취통증의학과
스마일내과의원,"경기도 성남시 수정구 수정로 141-1, 8층 (태평동)",031-757-7588,태평동,내과
