의료기관명,의료기관주소(도로명),의료기관전화번호,법정동,진료과
성남척척통증의학과의원,"경기도 성남시 수정구 수정로 112, 2층 (수진동)",031-751-6611,수진동,마취통증의학과
닥터훈치과의원,"경기도 성남시 수정구 산성대로 309, 4층 (신흥동)",031-733-1791,신흥동,치과
사람과치과의원,"경기도 성남시 수정구 수정로 147, 3층 (태평동)",031-756-5005,태평동,치과
라파엘외과의원,"경기도 성남시 수정구 산성대로 309, 5층 (신흥동, 고려빌딩)",031-733-0100,,외과
한솔정형외과의원,"경기도 성남시 수정구 수정로 147, 1층 (태평동)",031-751-7753,태평동,외과
서울OK치과의원,경기도 성남시 수정구 산성대로 257 (신흥동),031-732-2275,신흥동,치과
조은안과의원,"경기도 성남시 수정구 공원로 322, 211호 (신흥동, 신동아파라디움)",031-732-6002,,안과
연세정신건강의학과의원,"경기도 성남시 수정구 수정로 106, 206호 (수진동, SR프라자)",031-752-7225,,정신건강의학과
복정그린치과의원,"경기도 성남시 수정구 복정로 77, 2층 (복정동)",031-751-2822,복정동,치과
에디슨 소아청소년과의원,"경기도 성남시 수정구 수정로 208, 메드위즈 2층 201호, 11층 전체호 (신흥동)",031-744-0055,신흥동,소아청소년과
마음빛정신건강의학과의원,"경기도 성남시 수정구 산성대로 267, 5층 516호 (신흥동)",031-745-7856,신흥동,정신건강의학과
아이숲치과의원,"경기도 성남시 수정구 공원로 322, 2층 222호 (신흥동, 신동아파라디움)",031-734-8111,,치과
이스턴치과의원,"경기도 성남시 수정구 산성대로295번길 1, 4층 (신흥동)",031-736-2275,신흥동,치과
참편한내과의원,"경기도 성남시 수정구 산성대로 247, 4층 (신흥동)",031-735-7588,신흥동,내과
조앤박치과의원,"경기도 성남시 수정구 제일로 165, 2층 (태평동)",031-755-2376,태평동,치과
오층에치과의원,"경기도 성남시 수정구 희망로 551, 5층 501호 (신흥동)",031-721-0005,신흥동,치과
e-조아치과의원,"경기도 성남시 수정구 수정로 185, 7층 (태평동)",031-757-2704,태평동,치과
21C프라자내과의원,"경기도 성남시 수정구 수정로 106, 503호 (수진동)",031-721-3813,수진동,내과
서울하나치과의원,"경기도 성남시 수정구 산성대로 533, 3층 (양지동)",031-734-9200,양지동,치과
루미나르피부과의원,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 A동 3층 318,319,320호 (창곡동)",031-755-8277,창곡동,피부과
장소아청소년과의원,"경기도 성남시 수정구 탄리로 120, 2층 (태평동)",031-758-7079,태평동,소아청소년과
산성이사랑치과의원,"경기도 성남시 수정구 수정로 350, 2층 (산성동)",031-733-0009,산성동,치과
행복한정신건강의학과의원,"경기도 성남시 수정구 산성대로 229, 5층,6층 (신흥동)",031-753-5005,신흥동,정신건강의학과
연세이비인후과의원,"경기도 성남시 수정구 수정로 106, 502호 (수진동)",031-721-0635,수진동,이비인후과
문용식치과의원,"경기도 성남시 수정구 산성대로 207 (신흥동, 에드모스)",031-757-2877,,치과
성민치과의원,"경기도 성남시 수정구 공원로 322, 218호 (신흥동, 신동아파라디움)",031-735-2842,,치과
미소래치과의원,"경기도 성남시 수정구 산성대로 527, 2층 (양지동)",031-741-2879,양지동,치과
밝은치과의원,"경기도 성남시 수정구 산성대로 247, 6층 (신흥동)",031-741-2400,신흥동,치과
홍익신경외과의원,"경기도 성남시 수정구 산성대로 223, 일문파이낸스빌딩 3층 (신흥동)",031-745-3400,신흥동,외과
오케이내과의원,"경기도 성남시 수정구 수정로 115 (태평동, 만홍빌딩, 4층)",031-754-7509,,내과
두리치과의원,"경기도 성남시 수정구 수정로 122, 2층 (수진동)",031-758-2822,수진동,치과
성남제일정신건강의학과의원,"경기도 성남시 수정구 수정로 140, 세민빌딩 2층 일부호 (수진동)",031-757-8100,수진동,정신건강의학과
한&진 서울치과의원,경기도 성남시 수정구 성남대로 1275-1 (태평동),031-755-7528,태평동,치과
웰치과의원,경기도 성남시 수정구 논골로 1 (단대동),031-733-7528,단대동,치과
송내과의원,"경기도 성남시 수정구 산성대로 259, 3층 (신흥동)",031-734-8575,신흥동,내과
삼성내과의원,"경기도 성남시 수정구 산성대로 313, 2층 (신흥동, 나무빌딩)",031-747-0208,,내과
오늘안치과의원,"경기도 성남시 수정구 수정로119번길 4, 2,3층 (태평동)",031-753-0753,태평동,치과
한빛치과의원,경기도 성남시 수정구 수정로 115-1 (태평동),031-757-8881,태평동,치과
연세안과의원,"경기도 성남시 수정구 수정로 106, 303호 (수진동)",031-721-0075,수진동,안과
세종부부치과의원,"경기도 성남시 수정구 수정로 121, 2층 (태평동)",031-721-3481,태평동,치과
서울나란이치과의원,"경기도 성남시 수정구 수정로 210, 3층 (신흥동, 제중빌딩)",031-735-1700,,치과
이메디정형외과의원,"경기도 성남시 수정구 남문로 66, 2~3층 (태평동)",031-756-9988,태평동,외과
한길치과의원,"경기도 성남시 수정구 산성대로 435, 3층 (단대동)",031-731-3221,단대동,치과
참내과의원,"경기도 성남시 수정구 산성대로 331, 2층 202, 205호 (신흥동, 한신프라자)",031-742-7809,,내과
이승건치과의원,"경기도 성남시 수정구 산성대로 313, 3층 (신흥동)",031-744-2828,신흥동,치과
수이비인후과의원,"경기도 성남시 수정구 수정로 144, 2층 (수진동)",031-722-5995,수진동,이비인후과
연세센트럴치과의원,"경기도 성남시 수정구 수정로 106, 401호 (수진동)",031-756-3230,수진동,치과
수정형외과의원,"경기도 성남시 수정구 수정로 144, 1,3층 (수진동)",031-758-0700,수진동,외과
행복한e치과의원,"경기도 성남시 수정구 수정로 141-1, 3층 (태평동)",031-753-6803,태평동,치과
전미유정신건강의학과의원,"경기도 성남시 수정구 공원로 322, 227호 (신흥동, 신동아파라디움)",031-743-2111,,정신건강의학과
태평수소아청소년과의원,"경기도 성남시 수정구 수정로 115-1, 5층 (태평동)",031-753-7534,태평동,소아청소년과
손치과의원,경기도 성남시 수정구 수정로 130 (수진동),031-757-2858,수진동,치과
백상치과의원,경기도 성남시 수정구 수정로 202 (신흥동),031-754-7522,신흥동,치과
성남치과의원,"경기도 성남시 수정구 수정로 219-1, 2층 (태평동)",031-722-2888,태평동,치과
르네이비인후과의원,"경기도 성남시 수정구 산성대로 249, 4층 (신흥동)",031-733-8112,신흥동,이비인후과
성림치과의원,"경기도 성남시 수정구 수정로 346, 3층 (산성동)",031-748-0123,산성동,치과
고려정형외과의원,"경기도 성남시 수정구 산성대로 517, 2층 (양지동)",031-741-3100,양지동,외과
허윤외과의원,"경기도 성남시 수정구 희망로 551, C1블럭동 2층 201호, 203호 (신흥동)",031-749-0133~4,신흥동,외과
연세미소치과의원,"경기도 성남시 수정구 산성대로 491, 2층 (양지동)",031-742-6926,양지동,치과
연세플러스내과의원,"경기도 성남시 수정구 수정로 162, 2,3,4층 (신흥동)",031-755-0875,신흥동,내과
상아항외과의원,"경기도 성남시 수정구 수정로 115, 5층 (태평동, 만홍빌딩)",031-751-7175,,외과
남서울치과의원,"경기도 성남시 수정구 산성대로 433, 5층 (단대동)",031-748-7028,단대동,치과
우리들치과의원,경기도 성남시 수정구 산성대로 249 (신흥동),031-749-2875,신흥동,치과
연세마취통증의학과의원,"경기도 성남시 수정구 수정로 106, 501호 (수진동)",031-755-6399,수진동,마취통증의학과
연세행복한산부인과의원,"경기도 성남시 수정구 수정로 106, SR프라자 502-1호 (수진동)",031-751-9696,수진동,산부인과
연세고른이치과교정과치과의원,"경기도 성남시 수정구 공원로 322, 214호 (신흥동, 신동아파라디움)",031-749-2828,,치과
연세내과의원,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 2층 202,203,204호 (수진동)",031-753-8275,수진동,내과
박경수치과의원,"경기도 성남시 수정구 남문로 65, 5층 (태평동)",031-754-9316,태평동,치과
아름다운눈안과의원,"경기도 성남시 수정구 수정로 210, 2층 (신흥동)",031-734-1541,신흥동,안과
박정금소아청소년과의원,"경기도 성남시 수정구 수정로 358, 2층 (산성동)",031-733-5811,산성동,소아청소년과
김남윤치주과치과의원,"경기도 성남시 수정구 수정로 290, 3층 (신흥동)",031-747-2275,신흥동,치과
조인스모외과의원,"경기도 성남시 수정구 시민로 138, 3층 (신흥동)",031-746-9171,신흥동,외과
예나산부인과의원,"경기도 성남시 수정구 산성대로 331, 203호 (신흥동, 한신프라자)",031-730-2018,,산부인과
태평백치과의원,"경기도 성남시 수정구 성남대로 1227, 3층 (수진동)",031-755-3606,수진동,치과
정지섭마취통증의학과의원,"경기도 성남시 수정구 산성대로 481, 4층 (양지동)",031-743-1339,양지동,마취통증의학과
최영주소아청소년과의원,"경기도 성남시 수정구 수정로 81, 2층 202호 (태평동, 동인트루빌)",031-731-4409,,소아청소년과
박해일정형외과의원,"경기도 성남시 수정구 수정로 322, 2층 (산성동)",031-736-2217~9,산성동,외과
굿모닝치과의원,"경기도 성남시 수정구 수정로 81, 201호 (태평동, 동인트루빌)",031-734-2225,,치과
태평연세치과의원,"경기도 성남시 수정구 성남대로 1222, 예농빌딩 2층 일부층 (수진동)",031-751-6812,수진동,치과
청치과의원,"경기도 성남시 수정구 산성대로 237, 2층 (신흥동)",031-755-2875,신흥동,치과
수정내과의원,"경기도 성남시 수정구 수정로 181 (태평동, 성남빌딩)",031-756-4034,,내과
한솔치과의원,"경기도 성남시 수정구 탄리로 120, 4층 (태평동, 오거리빌딩)",031-757-7737,,치과
중앙치과의원,"경기도 성남시 수정구 제일로 165-1, 2층 (태평동)",031-753-7216,태평동,치과
세브란스치과의원,"경기도 성남시 수정구 청계산로 689, 3층 305호 (고등동)",031-748-7054,고등동,치과
그린치과의원,"경기도 성남시 수정구 수정로 190, 3층 (신흥동)",031-755-8237,신흥동,치과
박상균내과의원,"경기도 성남시 수정구 수정로 137, 2층 (태평동)",031-721-1617,태평동,내과
e-플랜트치과의원,경기도 성남시 수정구 수정로 208 (신흥동),031-744-2804,신흥동,치과
현부부치과의원,"경기도 성남시 수정구 산성대로 311, 2층 일부 (신흥동)",031-741-2275,신흥동,치과
안주영소아청소년과의원,"경기도 성남시 수정구 위례광장로 310, B동 402호 (창곡동, 우성트램타워)",031-757-3988,,소아청소년과
오필선치과의원,"경기도 성남시 수정구 수정로 356, 3층 (산성동)",031-745-2828,산성동,치과
수정치과의원,"경기도 성남시 수정구 수정로 144, 3층 (수진동)",031-752-3891,수진동,치과
페리오플란트치과의원,경기도 성남시 수정구 산성대로 269 (신흥동),031-734-5389,신흥동,치과
김안과의원,"경기도 성남시 수정구 수정로 182, 2층 (신흥동)",031-721-8932,신흥동,안과
박성원치과의원,"경기도 성남시 수정구 수정로 179-1, 2층 (태평동)",031-722-1293,태평동,치과
백정형외과의원,"경기도 성남시 수정구 수정로 210, 4층 (신흥동)",031-748-5116,신흥동,외과
남형근소아청소년과의원,"경기도 성남시 수정구 공원로 322, 184,185호 (신흥동, 신동아파라디움)",031-734-5582,,소아청소년과
유정일치과의원,"경기도 성남시 수정구 수정로 167, 2층 (태평동)",031-755-9873,태평동,치과
365프렌즈내과의원,"경기도 성남시 수정구 위례동로 147, 5층 505호 (창곡동, 위례건아타워)",031-731-6614,,내과
한상준치과의원,"경기도 성남시 수정구 수정로 97, 2층 (태평동)",031-758-9705,태평동,치과
계정이비인후과의원,경기도 성남시 수정구 수정로 121 (태평동),031-758-7163,태평동,이비인후과
이정욱피부과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 4층 401호 (창곡동)",031-757-3621,창곡동,피부과
베스트치과의원,"경기도 성남시 수정구 산성대로 267, 5층 520~524호 (신흥동)",031-734-0474,신흥동,치과
구석모내과의원,경기도 성남시 수정구 수정로 115-1 (태평동),031-754-8468,태평동,내과
윤동현내과의원,"경기도 성남시 수정구 산성대로 305, 206-213호 (신흥동, 삼부르네상스파크Ⅱ)",031-744-0238,,내과
김이비인후과의원,"경기도 성남시 수정구 공원로 322, 2층 (신흥동, 신동아파라디움)",031-746-5882,,이비인후과
에이스치과의원,"경기도 성남시 수정구 수정로 142, 2층 (수진동)",031-758-2875,수진동,치과
이상일이비인후과의원,"경기도 성남시 수정구 수정로 188, 2층 (신흥동)",031-757-5611,신흥동,이비인후과
현성욱치과의원,"경기도 성남시 수정구 성남대로 1330, 일성오퍼스원 2층 201,202,203호 (태평동)",031-754-7528,태평동,치과
서헌치과의원,"경기도 성남시 수정구 수정로 188, 2층 일부호 (신흥동)",031-757-2310,신흥동,치과
박애치과의원,"경기도 성남시 수정구 산성대로215번길 3, 관서형빌딩 7층 (신흥동)",031-749-6393,신흥동,치과
동산치과의원,"경기도 성남시 수정구 수정로 194, 2층 (신흥동)",031-756-7488,신흥동,치과
태평산부인과의원,"경기도 성남시 수정구 수정로 133, 1층 (태평동)",031-753-9870,태평동,산부인과
이빛나치과의원,"경기도 성남시 수정구 산성대로 331, 2층 (신흥동, 한신프라자)",031-730-2014,,치과
김정혜산부인과의원,"경기도 성남시 수정구 산성대로 289, 3층 (신흥동)",031-744-7147,신흥동,산부인과
조피부과의원,"경기도 성남시 수정구 수정로 167, 3층 (태평동)",031-756-3830,태평동,피부과
조치과의원,"경기도 성남시 수정구 시민로 135, 3층 (신흥동)",031-757-1515,신흥동,치과
임안과의원,"경기도 성남시 수정구 수정로 167, 3층 (태평동)",031-756-5300,태평동,안과
정다운산부인과의원,경기도 성남시 수정구 산성대로295번길 3 (신흥동),031-747-9944,신흥동,산부인과
현대치과의원,"경기도 성남시 수정구 산성대로 239, 2층 (신흥동)",031-757-3418,신흥동,치과
성심치과의원,"경기도 성남시 수정구 산성대로 263, 2,3층 (신흥동)",031-747-4340,신흥동,치과
상쾌한이비인후과의원,"경기도 성남시 수정구 수정로 273, 2층 (신흥동)",031-734-7818,신흥동,이비인후과
상아치과의원,경기도 성남시 수정구 산성대로 285 (신흥동),031-747-7202,신흥동,치과
위례재활의학과병원,"경기도 성남시 수정구 위례서일로 6, 6층~9층 (창곡동)",031-751-0660,창곡동,재활의학과
위례서울치과병원,"경기도 성남시 수정구 위례광장로 310, B동 8층 801~804호 (창곡동, 우성트램타워)",0507-1397-2701,,치과
드림성모이비인후과의원,"경기도 성남시 중원구 광명로 319, 3층 (금광동)",031-8039-7507,금광동,이비인후과
고려탑신경외과의원,"경기도 성남시 중원구 성남대로1139번길 6, 1,2층 일부호 (성남동)",031-758-7575,성남동,외과
상일치과의원,"경기도 성남시 중원구 광명로 322, 2층 (금광동)",031-698-2375,금광동,치과
장새로내과의원,"경기도 성남시 중원구 금빛로 43, 401~405호 (금광동)",031-734-7760,금광동,내과
더정성치과의원,"경기도 성남시 중원구 광명로 331, 5층 (금광동)",031-749-7528,금광동,치과
서울바로본치과의원,"경기도 성남시 중원구 광명로 319, 2층 (금광동)",031-734-2879,금광동,치과
서울아산내과의원,"경기도 성남시 중원구 광명로 176, 202,203,204호 (중앙동, 신흥역하늘채랜더스원아파트)",031-626-6500,,내과
이숲치과의원,"경기도 성남시 중원구 금빛로 43, 5층 501,502,505호 (금광동)",031-736-2879,금광동,치과
삼성귀요미소아청소년과의원,"경기도 성남시 중원구 금빛로 43, 3층 301호 (금광동)",031-8039-6789,금광동,소아청소년과
마디신경외과의원,"경기도 성남시 중원구 성남대로 1126, 메가프라자 2층 204호 (성남동)",031-721-1236,성남동,외과
유엘치과의원,"경기도 성남시 중원구 금상로96번길 2, 2층 (상대원동)",031-748-2275,상대원동,치과
위소아청소년과의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 201,202호 (여수동)",031-753-7585,여수동,소아청소년과
모란마취통증의학과의원,"경기도 성남시 중원구 광명로 2, 3층 (성남동)",031-755-2013,성남동,마취통증의학과
모란상아치과의원,"경기도 성남시 중원구 산성대로 106, 원진빌딩 4층 (성남동)",031-778-7834,성남동,치과
서울금빛치과의원,"경기도 성남시 중원구 광명로 320, 2층 (금광동)",031-606-2828,금광동,치과
서울단오치과의원,"경기도 성남시 중원구 산성대로 380, 7층 (금광동)",031-742-2080,금광동,치과
고든정형외과의원,"경기도 성남시 중원구 광명로 333, 서광빌딩 2층3층 일부호 (금광동)",031-732-0880,금광동,외과
모란서울통정형외과의원,"경기도 성남시 중원구 성남대로 1129, 하나빌딩 4층5층 일부호 (성남동)",031-607-5000,성남동,외과
수서울내과의원,"경기도 성남시 중원구 산성대로 380, 5층 (금광동)",031-748-1112,금광동,내과
위드유정신건강의학과의원,"경기도 성남시 중원구 성남대로 1132, 모란역 센트럴스퀘어 401~403호 (성남동)",031-778-6698,성남동,정신건강의학과
바른플란트치과교정과치과의원,"경기도 성남시 중원구 성남대로 1132, 모란역 센트럴스퀘어 305~309호 (성남동)",031-722-2811,성남동,치과
바로나은내과의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 501~506호 (여수동)",031-751-7544,여수동,내과
베스트치과의원,"경기도 성남시 중원구 성남대로 1146, 구정빌딩 4층 401호 (성남동)",031-604-2879,성남동,치과
에스씨(SC)탑 치과의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 203,204호 (여수동)",031-755-2979,여수동,치과
라미치과의원,"경기도 성남시 중원구 둔촌대로 84, 5층 501,502호 (성남동)",031-607-9800,성남동,치과
아이엠정형외과의원,"경기도 성남시 중원구 희망로 380, 1,2,3,4,5층 (상대원동)",031-697-8220,상대원동,외과
두리이비인후과의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 6층 603호 일부604~606호 (여수동)",031-752-1222,여수동,이비인후과
아산유재활의학과의원 유한의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 701~706호 (여수동)",031-722-0815,여수동,재활의학과
아산유재활의학과의원 유한의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 7층 701~706호 (여수동)",031-722-0815,여수동,재활의학과
나의특별한치과의원,"경기도 성남시 중원구 성남대로 1133, 성남 메트로칸, 2층 2-13호,2-14호,2-15호,2-16호 (성남동)",031-603-2828,성남동,치과
스마일플란트치과의원,"경기도 성남시 중원구 사기막골로 99, B102~103호 (상대원동)",031-789-6828,상대원동,치과
이광우신경과의원,"경기도 성남시 중원구 둔촌대로 84, 708,709호 (성남동)",031-755-3215,성남동,신경과
강남재활의학과의원,"경기도 성남시 중원구 광명로 299, 행림빌딩 2층 202~205호 (금광동)",031-733-7588,금광동,재활의학과
현정신건강의학과의원,"경기도 성남시 중원구 둔촌대로 84, 601호 (성남동)",031-758-0575,성남동,정신건강의학과
희망등대치과의원,"경기도 성남시 중원구 둔촌대로 84, 201호 (성남동)",031-755-1993,성남동,치과
서울정성치과의원,"경기도 성남시 중원구 성남대로1148번길 2, 소평빌딩 (성남동)",031-751-7522,성남동,치과
웃자치과교정과치과의원,"경기도 성남시 중원구 성남대로 1156, 3,4,5층 (성남동)",031-606-0282,성남동,치과
온세치과의원,"경기도 성남시 중원구 광명로 59, 2층 (성남동)",031-757-2875,성남동,치과
정은치과의원,"경기도 성남시 중원구 광명로 2, 2층 (성남동)",031-609-2872,성남동,치과
마마라정신건강의학과의원,"경기도 성남시 중원구 성남대로 1144, 3층 (성남동)",031-602-1275,성남동,정신건강의학과
도촌행복정형외과의원,"경기도 성남시 중원구 도촌로 8, 2층 201~203호 (도촌동)",031-755-6500,도촌동,외과
100세 플란트치과의원,"경기도 성남시 중원구 은이로5번길 1, 건영빌딩 7층 (은행동)",031-608-7575,은행동,치과
세림피부과의원,"경기도 성남시 중원구 산성대로 360, 7층 (중앙동)",031-743-7009,중앙동,피부과
유경정신건강의학과의원,"경기도 성남시 중원구 성남대로 1146, 4층 (성남동, 구정빌딩)",031-759-5777,,정신건강의학과
바로힐마취통증의학과의원,"경기도 성남시 중원구 금상로 18 (상대원동, 메디원 빌딩)",031-747-8575,,마취통증의학과
신 사랑치과의원,"경기도 성남시 중원구 금빛로 101, 2층 (금광동)",031-733-0882,금광동,치과
서울김안과의원,"경기도 성남시 중원구 은이로5번길 1, 건영빌딩 5층 (은행동)",031-732-8626,은행동,안과
서울바른내과의원,"경기도 성남시 중원구 희망로 336 (상대원동, 금진빌딩)",031-736-1700,,내과
도촌베스트치과의원,"경기도 성남시 중원구 도촌남로 27, 동강프라자 404호 (도촌동)",031-754-7575,도촌동,치과
고려척척마취통증의학과의원,"경기도 성남시 중원구 성남대로 1146, 5층 (성남동, 구정빌딩)",031-759-7582,,마취통증의학과
다시젊어지는 치과의원,"경기도 성남시 중원구 성남대로 1127, 한성빌딩 2층,3층 일부호 (성남동)",031-759-0088,성남동,치과
이든소아청소년과의원,"경기도 성남시 중원구 도촌남로 33, 202호.203-1호 (도촌동, 세일프라자)",031-754-7557,,소아청소년과
삼성바른내과의원,"경기도 성남시 중원구 광명로 5, 101호 (성남동, 성남동메디칼센타)",031-721-8720,,내과
웰치과의원,"경기도 성남시 중원구 광명로 333, 서광빌딩 4층 (금광동)",1833-5528,금광동,치과
센트럴치과의원,"경기도 성남시 중원구 여수울로15번길 4-2, 4층 (여수동)",031-754-3331,여수동,치과
열린이비인후과의원,"경기도 성남시 중원구 양현로 469, 402호 (여수동)",031-754-7979,여수동,이비인후과
허리편한신경외과의원,"경기도 성남시 중원구 은이로5번길 1, 3층.4층 (은행동)",031-731-8733,은행동,외과
연세봄치과의원,"경기도 성남시 중원구 산성대로 450, 4층 (금광동)",031-731-2788,금광동,치과
크리스마스치과의원,"경기도 성남시 중원구 산성대로 530, 6층 (은행동)",031-742-2275,은행동,치과
삼성으뜸정형외과의원,"경기도 성남시 중원구 둔촌대로 272, 지하1층.2~5층 (하대원동)",031-698-2175,하대원동,외과
미래성모이비인후과의원,"경기도 성남시 중원구 산성대로 526, 가동 2층 1호 (은행동)",031-749-8575,은행동,이비인후과
키즈엠소아청소년과의원,"경기도 성남시 중원구 양현로 469, 3층 302호 (여수동)",031-753-7582,여수동,소아청소년과
바른손치과의원,"경기도 성남시 중원구 양현로405번길 5, 2층 201호 (여수동, 신야탑푸르지오시티)",031-602-2275,,치과
연세아이맘소아청소년과의원,"경기도 성남시 중원구 은이로5번길 1, 건영빌딩 지하1층,2층 (은행동)",031-731-0088,은행동,소아청소년과
탑부부치과의원,"경기도 성남시 중원구 금상로 18, 4층 (상대원동)",031-743-7528,상대원동,치과
서울수치과의원,"경기도 성남시 중원구 광명로 347, 2층 (금광동, 형제빌딩 2층일부)",031-731-2821,,치과
나비치과의원,"경기도 성남시 중원구 사기막골로 124, 메가동 B2층 B203호 (상대원동, SKn테크노파크)",031-776-0428,,치과
마음속내과 의원,"경기도 성남시 중원구 성남대로1130번길 3, 엠스퀘어빌딩 3층일부,4층 (성남동)",031-757-3800,성남동,내과
덴플러스치과의원,"경기도 성남시 중원구 성남대로1130번길 3, 엠스퀘어빌딩 502호 (성남동)",031-752-7502,성남동,치과
모란정신건강의학과의원,"경기도 성남시 중원구 성남대로1130번길 3, 5층 501호 (성남동, 엠스퀘어)",031-759-1144,,정신건강의학과
플러스원치과의원,"경기도 성남시 중원구 광명로323번길 4, 3층 (금광동)",031-746-2877,금광동,치과
모란피부과의원,"경기도 성남시 중원구 성남대로 1133, 3층 324~327호 (성남동, 성남메트로칸)",031-757-2700,,피부과
유치과의원,경기도 성남시 중원구 산성대로378번길 2 (금광동),031-743-2299,금광동,치과
다나이비인후과의원,"경기도 성남시 중원구 금상로 18, 4층 (상대원동)",031-733-2586,상대원동,이비인후과
닥터(Dr.)신치과의원,"경기도 성남시 중원구 갈마치로288번길 14, 성남 SK V1 tower 1층 127호 (상대원동)",031-8035-3355,상대원동,치과
우리희망내과의원,"경기도 성남시 중원구 산성대로 366, 벽산프라자 5,9층 (중앙동)",031-757-1717,중앙동,내과
참조은치과의원,"경기도 성남시 중원구 희망로 348, 3층 (상대원동)",031-743-2875,상대원동,치과
고려드림내과의원,"경기도 성남시 중원구 둔촌대로 84, 7층 (성남동)",031-752-0067,성남동,내과
모란이비인후과의원,"경기도 성남시 중원구 성남대로 1144, 3층 (성남동)",031-721-5020,성남동,이비인후과
온누리소아청소년과의원,"경기도 성남시 중원구 금상로 61, 2층 (금광동)",031-733-7119,금광동,소아청소년과
한국정형외과의원,"경기도 성남시 중원구 산성대로 588, 2층 (은행동)",031-731-6777,은행동,외과
